Email;Event;Framecount;PotionRotationX;PotionRotationY;PotionRotationZ;SessionID;Timestamp
anonymous;Sample;340;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.8610
anonymous;Sample;342;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.8886
anonymous;Sample;344;-0.1565;-0.0537;-0.0102;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.9169
anonymous;Sample;346;-0.2314;-0.0885;-0.0110;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.9446
anonymous;Sample;348;0.2305;0.0941;0.0216;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.9728
anonymous;Sample;350;0.2360;0.0786;0.0143;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.9997
anonymous;Sample;352;0.2445;0.0736;0.0035;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.0277
anonymous;Sample;354;0.2393;0.0740;0.0006;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.0555
anonymous;Sample;356;0.2408;0.0716;0.0101;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.0830
anonymous;Sample;358;0.2467;0.0661;0.0186;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.1111
anonymous;Sample;360;0.2409;0.0505;0.0152;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.1384
anonymous;Sample;362;0.2419;0.0514;0.0104;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.1664
anonymous;Sample;364;0.2398;0.0527;0.0043;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.1943
anonymous;Sample;366;0.2193;0.0497;0.0068;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.2220
anonymous;Sample;368;0.2131;0.0491;0.0025;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.2495
anonymous;Sample;370;0.2317;0.0388;-0.0261;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.2777
anonymous;Sample;372;0.2452;0.0143;-0.0692;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.3054
anonymous;Sample;374;0.2220;0.0103;-0.0873;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.3371
anonymous;Sample;376;0.1902;0.0011;-0.0886;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.3675
anonymous;Sample;378;0.1800;-0.0129;-0.1144;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.3891
anonymous;Sample;380;0.1658;-0.0279;-0.1252;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.4154
anonymous;Sample;382;0.1569;-0.0312;-0.1355;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.4445
anonymous;Sample;384;0.1290;-0.0151;-0.1302;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.4718
anonymous;Sample;386;0.1182;-0.0243;-0.1363;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.4999
anonymous;Sample;388;0.1258;-0.0262;-0.1236;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.5274
anonymous;Sample;390;0.1264;-0.0366;-0.1299;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.5544
anonymous;Sample;392;0.1066;-0.0232;-0.1252;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.5831
anonymous;Sample;394;0.0842;-0.0191;-0.0900;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.6100
anonymous;Sample;396;0.0931;-0.0334;-0.0725;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.6380
anonymous;Sample;398;0.0871;-0.0324;-0.0384;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:48.6670
